airline,flight_number,departure_airport,arrival_airport,departure_iata,arrival_iata,departure_time,arrival_time,status
Thai Airways International,7652,Frankfurt International Airport,Schiphol,FRA,AMS,2025-07-30 07:50:00+00:00,2025-07-30 09:00:00+00:00,active
ANA,5410,Frankfurt International Airport,Schiphol,FRA,AMS,2025-07-30 07:50:00+00:00,2025-07-30 09:00:00+00:00,active
Ethiopian Airlines,1577,Frankfurt International Airport,Schiphol,FRA,AMS,2025-07-30 07:50:00+00:00,2025-07-30 09:00:00+00:00,active
Air Canada,9071,Frankfurt International Airport,Schiphol,FRA,AMS,2025-07-30 07:50:00+00:00,2025-07-30 09:00:00+00:00,active
Lufthansa,1094,Frankfurt International Airport,Blagnac,FRA,TLS,2025-07-30 07:45:00+00:00,2025-07-30 09:30:00+00:00,active
United Airlines,9388,Frankfurt International Airport,Blagnac,FRA,TLS,2025-07-30 07:45:00+00:00,2025-07-30 09:30:00+00:00,active
China Southern Airlines,3836,Shanghai Pudong International,Fenghuang International (Phoenix International),PVG,SYX,2025-07-30 16:35:00+00:00,2025-07-30 19:55:00+00:00,cancelled
Flexjet,554,Hopkins International,,CLE,MNZ,2025-07-30 08:09:00+00:00,2025-07-30 09:11:00+00:00,scheduled
Southwest Airlines,2035,Hopkins International,Lambert-St. Louis International,CLE,STL,2025-07-30 08:05:00+00:00,2025-07-30 08:40:00+00:00,scheduled
United Airlines,2053,Hopkins International,Newark Liberty International,CLE,EWR,2025-07-30 08:05:00+00:00,2025-07-30 09:39:00+00:00,scheduled
Air Canada,3129,Hopkins International,Newark Liberty International,CLE,EWR,2025-07-30 08:05:00+00:00,2025-07-30 09:39:00+00:00,scheduled
Delta Air Lines,523,Hopkins International,Hartsfield-jackson Atlanta International,CLE,ATL,2025-07-30 08:05:00+00:00,2025-07-30 09:53:00+00:00,scheduled
Korean Air,3593,Hopkins International,Hartsfield-jackson Atlanta International,CLE,ATL,2025-07-30 08:05:00+00:00,2025-07-30 09:53:00+00:00,scheduled
Aeromexico,3406,Hopkins International,Hartsfield-jackson Atlanta International,CLE,ATL,2025-07-30 08:05:00+00:00,2025-07-30 09:53:00+00:00,scheduled
NetJets Aviation,925,Hopkins International,Teterboro,CLE,TEB,2025-07-30 08:00:00+00:00,2025-07-30 09:18:00+00:00,scheduled
NetJets Aviation,515,Hopkins International,Palm Beach International Airport,CLE,PBI,2025-07-30 08:00:00+00:00,2025-07-30 10:48:00+00:00,scheduled
United Airlines,2636,Hopkins International,Orlando International,CLE,MCO,2025-07-30 08:00:00+00:00,2025-07-30 10:25:00+00:00,scheduled
Copa Airlines,1301,Hopkins International,Orlando International,CLE,MCO,2025-07-30 08:00:00+00:00,2025-07-30 10:25:00+00:00,scheduled
SA AVIANCA,2287,Hopkins International,Orlando International,CLE,MCO,2025-07-30 08:00:00+00:00,2025-07-30 10:25:00+00:00,scheduled
Azul,7084,Hopkins International,Orlando International,CLE,MCO,2025-07-30 08:00:00+00:00,2025-07-30 10:25:00+00:00,scheduled
Frontier Airlines,4140,Hopkins International,Luis Munoz Marin International,CLE,SJU,2025-07-30 08:00:00+00:00,2025-07-30 12:28:00+00:00,scheduled
American Airlines,4386,Hopkins International,Philadelphia International,CLE,PHL,2025-07-30 08:00:00+00:00,2025-07-30 09:35:00+00:00,scheduled
FedEx,468,Hopkins International,Memphis International,CLE,MEM,2025-07-30 07:41:00+00:00,2025-07-30 08:11:00+00:00,scheduled
Delta Air Lines,3249,Hopkins International,Salt Lake City International,CLE,SLC,2025-07-30 07:35:00+00:00,2025-07-30 09:40:00+00:00,scheduled
Korean Air,3340,Hopkins International,Salt Lake City International,CLE,SLC,2025-07-30 07:35:00+00:00,2025-07-30 09:40:00+00:00,scheduled
United Airlines,700,Hopkins International,San Francisco International,CLE,SFO,2025-07-30 07:31:00+00:00,2025-07-30 09:40:00+00:00,scheduled
Virgin Australia,8488,Hopkins International,San Francisco International,CLE,SFO,2025-07-30 07:31:00+00:00,2025-07-30 09:40:00+00:00,scheduled
Turkish Airlines,9207,Narita International Airport,Hong Kong International,NRT,HKG,2025-07-30 15:55:00+00:00,2025-07-30 20:00:00+00:00,scheduled
Zipair,22,Narita International Airport,Vancouver International,NRT,YVR,2025-07-30 15:50:00+00:00,2025-07-30 08:35:00+00:00,scheduled
Korean Air,2130,Narita International Airport,Gimhae,NRT,PUS,2025-07-30 15:50:00+00:00,2025-07-30 18:00:00+00:00,scheduled
Japan Airlines,5231,Narita International Airport,Gimhae,NRT,PUS,2025-07-30 15:50:00+00:00,2025-07-30 18:00:00+00:00,scheduled
Hong Kong Express,849,Narita International Airport,Hong Kong International,NRT,HKG,2025-07-30 15:45:00+00:00,2025-07-30 19:40:00+00:00,scheduled
Cathay Pacific,5849,Narita International Airport,Hong Kong International,NRT,HKG,2025-07-30 15:45:00+00:00,2025-07-30 19:40:00+00:00,scheduled
Peach Aviation,575,Narita International Airport,Chitose,NRT,CTS,2025-07-30 15:45:00+00:00,2025-07-30 17:35:00+00:00,scheduled
Jetstar Japan,331,Narita International Airport,Naha,NRT,OKA,2025-07-30 15:45:00+00:00,2025-07-30 18:50:00+00:00,scheduled
Qantas,5963,Narita International Airport,Naha,NRT,OKA,2025-07-30 15:45:00+00:00,2025-07-30 18:50:00+00:00,scheduled
Japan Airlines,6119,Narita International Airport,Naha,NRT,OKA,2025-07-30 15:45:00+00:00,2025-07-30 18:50:00+00:00,scheduled
Cathay Pacific,451,Narita International Airport,Taiwan Taoyuan International (Chiang Kai Shek International),NRT,TPE,2025-07-30 15:45:00+00:00,2025-07-30 18:25:00+00:00,scheduled
Japan Airlines,7045,Narita International Airport,Taiwan Taoyuan International (Chiang Kai Shek International),NRT,TPE,2025-07-30 15:45:00+00:00,2025-07-30 18:25:00+00:00,scheduled
Xiamen Airlines,810,Narita International Airport,Fuzhou,NRT,FOC,2025-07-30 15:30:00+00:00,2025-07-30 18:30:00+00:00,active
Japan Airlines,5097,Narita International Airport,Fuzhou,NRT,FOC,2025-07-30 15:30:00+00:00,2025-07-30 18:30:00+00:00,active
China Eastern Airlines,7292,Narita International Airport,Shanghai Pudong International,NRT,PVG,2025-07-30 15:20:00+00:00,2025-07-30 18:15:00+00:00,active
Hawaiian Airlines,3418,Brisbane International,Sydney Kingsford Smith Airport,BNE,SYD,2025-07-30 11:25:00+00:00,2025-07-30 13:00:00+00:00,landed
Air New Zealand,1721,Brisbane International,Sydney Kingsford Smith Airport,BNE,SYD,2025-07-30 11:25:00+00:00,2025-07-30 13:00:00+00:00,landed
Emirates,5521,Brisbane International,Sydney Kingsford Smith Airport,BNE,SYD,2025-07-30 11:25:00+00:00,2025-07-30 13:00:00+00:00,landed
China Southern Airlines,7552,Brisbane International,Sydney Kingsford Smith Airport,BNE,SYD,2025-07-30 11:25:00+00:00,2025-07-30 13:00:00+00:00,landed
Alitalia,5219,Islamabad International,King Abdulaziz International,ISB,JED,2025-07-30 03:00:00+00:00,2025-07-30 06:10:00+00:00,landed
Airblue,170,Quaid-e-azam International,King Abdulaziz International,KHI,JED,2025-07-30 03:40:00+00:00,2025-07-30 06:05:00+00:00,landed
Saudia,1645,Abha,King Abdulaziz International,AHB,JED,2025-07-30 04:45:00+00:00,2025-07-30 06:05:00+00:00,landed
American Airlines,6048,Albert J Ellis,Charlotte Douglas,OAJ,CLT,2025-07-30 06:59:00+00:00,2025-07-30 08:20:00+00:00,scheduled
Delta Air Lines,4888,Albert J Ellis,Hartsfield-jackson Atlanta International,OAJ,ATL,2025-07-30 05:50:00+00:00,2025-07-30 07:24:00+00:00,scheduled
WestJet,8176,Albert J Ellis,Hartsfield-jackson Atlanta International,OAJ,ATL,2025-07-30 05:50:00+00:00,2025-07-30 07:24:00+00:00,scheduled
KLM,6327,Albert J Ellis,Hartsfield-jackson Atlanta International,OAJ,ATL,2025-07-30 05:50:00+00:00,2025-07-30 07:24:00+00:00,scheduled
Korean Air,6980,Albert J Ellis,Hartsfield-jackson Atlanta International,OAJ,ATL,2025-07-30 05:50:00+00:00,2025-07-30 07:24:00+00:00,scheduled
Air China LTD,3453,Beijing Capital International,Wuxi,PEK,WUX,2025-07-30 14:00:00+00:00,2025-07-30 16:00:00+00:00,scheduled
Japan Airlines,323,Haneda Airport,Fukuoka,HND,FUK,2025-07-30 15:15:00+00:00,2025-07-30 17:05:00+00:00,scheduled
AlphaSky,7447,Haneda Airport,Fukuoka,HND,FUK,2025-07-30 15:15:00+00:00,2025-07-30 17:05:00+00:00,scheduled
Hawaiian Airlines,5156,Haneda Airport,Fukuoka,HND,FUK,2025-07-30 15:15:00+00:00,2025-07-30 17:05:00+00:00,scheduled
Spring Airlines,6537,Shanghai Pudong International,Fukuoka,PVG,FUK,2025-07-30 13:50:00+00:00,2025-07-30 17:00:00+00:00,scheduled
FedEx,468,Hopkins International,Memphis International,CLE,MEM,2025-07-30 07:41:00+00:00,2025-07-30 08:11:00+00:00,scheduled
Delta Air Lines,3249,Hopkins International,Salt Lake City International,CLE,SLC,2025-07-30 07:35:00+00:00,2025-07-30 09:40:00+00:00,scheduled
Korean Air,3340,Hopkins International,Salt Lake City International,CLE,SLC,2025-07-30 07:35:00+00:00,2025-07-30 09:40:00+00:00,scheduled
United Airlines,700,Hopkins International,San Francisco International,CLE,SFO,2025-07-30 07:31:00+00:00,2025-07-30 09:40:00+00:00,scheduled
Virgin Australia,8488,Hopkins International,San Francisco International,CLE,SFO,2025-07-30 07:31:00+00:00,2025-07-30 09:40:00+00:00,scheduled
Turkish Airlines,9207,Narita International Airport,Hong Kong International,NRT,HKG,2025-07-30 15:55:00+00:00,2025-07-30 20:00:00+00:00,scheduled
Zipair,22,Narita International Airport,Vancouver International,NRT,YVR,2025-07-30 15:50:00+00:00,2025-07-30 08:35:00+00:00,scheduled
Korean Air,2130,Narita International Airport,Gimhae,NRT,PUS,2025-07-30 15:50:00+00:00,2025-07-30 18:00:00+00:00,scheduled
Japan Airlines,5231,Narita International Airport,Gimhae,NRT,PUS,2025-07-30 15:50:00+00:00,2025-07-30 18:00:00+00:00,scheduled
Hong Kong Express,849,Narita International Airport,Hong Kong International,NRT,HKG,2025-07-30 15:45:00+00:00,2025-07-30 19:40:00+00:00,scheduled
Cathay Pacific,5849,Narita International Airport,Hong Kong International,NRT,HKG,2025-07-30 15:45:00+00:00,2025-07-30 19:40:00+00:00,scheduled
Peach Aviation,575,Narita International Airport,Chitose,NRT,CTS,2025-07-30 15:45:00+00:00,2025-07-30 17:35:00+00:00,scheduled
Jetstar Japan,331,Narita International Airport,Naha,NRT,OKA,2025-07-30 15:45:00+00:00,2025-07-30 18:50:00+00:00,scheduled
Qantas,5963,Narita International Airport,Naha,NRT,OKA,2025-07-30 15:45:00+00:00,2025-07-30 18:50:00+00:00,scheduled
Japan Airlines,6119,Narita International Airport,Naha,NRT,OKA,2025-07-30 15:45:00+00:00,2025-07-30 18:50:00+00:00,scheduled
Cathay Pacific,451,Narita International Airport,Taiwan Taoyuan International (Chiang Kai Shek International),NRT,TPE,2025-07-30 15:45:00+00:00,2025-07-30 18:25:00+00:00,scheduled
Japan Airlines,7045,Narita International Airport,Taiwan Taoyuan International (Chiang Kai Shek International),NRT,TPE,2025-07-30 15:45:00+00:00,2025-07-30 18:25:00+00:00,scheduled
Xiamen Airlines,810,Narita International Airport,Fuzhou,NRT,FOC,2025-07-30 15:30:00+00:00,2025-07-30 18:30:00+00:00,active
Japan Airlines,5097,Narita International Airport,Fuzhou,NRT,FOC,2025-07-30 15:30:00+00:00,2025-07-30 18:30:00+00:00,active
China Eastern Airlines,7292,Narita International Airport,Shanghai Pudong International,NRT,PVG,2025-07-30 15:20:00+00:00,2025-07-30 18:15:00+00:00,active
Hawaiian Airlines,3418,Brisbane International,Sydney Kingsford Smith Airport,BNE,SYD,2025-07-30 11:25:00+00:00,2025-07-30 13:00:00+00:00,landed
Air New Zealand,1721,Brisbane International,Sydney Kingsford Smith Airport,BNE,SYD,2025-07-30 11:25:00+00:00,2025-07-30 13:00:00+00:00,landed
Emirates,5521,Brisbane International,Sydney Kingsford Smith Airport,BNE,SYD,2025-07-30 11:25:00+00:00,2025-07-30 13:00:00+00:00,landed
China Southern Airlines,7552,Brisbane International,Sydney Kingsford Smith Airport,BNE,SYD,2025-07-30 11:25:00+00:00,2025-07-30 13:00:00+00:00,landed
Alitalia,5219,Islamabad International,King Abdulaziz International,ISB,JED,2025-07-30 03:00:00+00:00,2025-07-30 06:10:00+00:00,landed
Airblue,170,Quaid-e-azam International,King Abdulaziz International,KHI,JED,2025-07-30 03:40:00+00:00,2025-07-30 06:05:00+00:00,landed
Saudia,1645,Abha,King Abdulaziz International,AHB,JED,2025-07-30 04:45:00+00:00,2025-07-30 06:05:00+00:00,landed
American Airlines,6048,Albert J Ellis,Charlotte Douglas,OAJ,CLT,2025-07-30 06:59:00+00:00,2025-07-30 08:20:00+00:00,scheduled
Delta Air Lines,4888,Albert J Ellis,Hartsfield-jackson Atlanta International,OAJ,ATL,2025-07-30 05:50:00+00:00,2025-07-30 07:24:00+00:00,scheduled
WestJet,8176,Albert J Ellis,Hartsfield-jackson Atlanta International,OAJ,ATL,2025-07-30 05:50:00+00:00,2025-07-30 07:24:00+00:00,scheduled
KLM,6327,Albert J Ellis,Hartsfield-jackson Atlanta International,OAJ,ATL,2025-07-30 05:50:00+00:00,2025-07-30 07:24:00+00:00,scheduled
Korean Air,6980,Albert J Ellis,Hartsfield-jackson Atlanta International,OAJ,ATL,2025-07-30 05:50:00+00:00,2025-07-30 07:24:00+00:00,scheduled
Air China LTD,3453,Beijing Capital International,Wuxi,PEK,WUX,2025-07-30 14:00:00+00:00,2025-07-30 16:00:00+00:00,scheduled
Japan Airlines,323,Haneda Airport,Fukuoka,HND,FUK,2025-07-30 15:15:00+00:00,2025-07-30 17:05:00+00:00,scheduled
AlphaSky,7447,Haneda Airport,Fukuoka,HND,FUK,2025-07-30 15:15:00+00:00,2025-07-30 17:05:00+00:00,scheduled
Hawaiian Airlines,5156,Haneda Airport,Fukuoka,HND,FUK,2025-07-30 15:15:00+00:00,2025-07-30 17:05:00+00:00,scheduled
Spring Airlines,6537,Shanghai Pudong International,Fukuoka,PVG,FUK,2025-07-30 13:50:00+00:00,2025-07-30 17:00:00+00:00,scheduled
ANA,1277,Fukuoka,Chitose,FUK,CTS,2025-07-30 08:00:00+00:00,2025-07-30 10:30:00+00:00,active
ANA,1203,Fukuoka,Naha,FUK,OKA,2025-07-30 08:00:00+00:00,2025-07-30 09:40:00+00:00,active
ANA,242,Fukuoka,Haneda Airport,FUK,HND,2025-07-30 07:55:00+00:00,2025-07-30 09:40:00+00:00,active
Lufthansa,4877,Fukuoka,Haneda Airport,FUK,HND,2025-07-30 07:55:00+00:00,2025-07-30 09:40:00+00:00,active
LATAM Airlines,1786,Fuerteventura,Barajas,FUE,MAD,2025-07-30 07:00:00+00:00,2025-07-30 10:40:00+00:00,active
Malaysia Airlines,4201,Doha International,Franjo Tudman International Airport,DOH,ZAG,2025-07-30 09:05:00+00:00,2025-07-30 14:00:00+00:00,scheduled
SunExpress,655,Pristina International,Antalya,PRN,AYT,2025-07-30 02:40:00+00:00,2025-07-30 05:30:00+00:00,landed
Air Canada,178,Edmonton International Airport,Lester B. Pearson International,YEG,YYZ,2025-07-30 00:55:00+00:00,2025-07-30 06:40:00+00:00,scheduled
EgyptAir,9616,Edmonton International Airport,Lester B. Pearson International,YEG,YYZ,2025-07-30 00:55:00+00:00,2025-07-30 06:40:00+00:00,scheduled
SA AVIANCA,6997,Edmonton International Airport,Lester B. Pearson International,YEG,YYZ,2025-07-30 00:55:00+00:00,2025-07-30 06:40:00+00:00,scheduled
Air Canada,7773,Pierre Elliott Trudeau International,Lester B. Pearson International,YUL,YYZ,2025-07-30 05:00:00+00:00,2025-07-30 06:25:00+00:00,scheduled
SA AVIANCA,2857,Pierre Elliott Trudeau International,Lester B. Pearson International,YUL,YYZ,2025-07-30 05:00:00+00:00,2025-07-30 06:25:00+00:00,scheduled
Air Austral,8036,Charles De Gaulle,Brnik,CDG,LJU,2025-07-30 09:45:00+00:00,2025-07-30 11:35:00+00:00,scheduled
Kenya Airways,3812,Charles De Gaulle,Brnik,CDG,LJU,2025-07-30 09:45:00+00:00,2025-07-30 11:35:00+00:00,scheduled
SriLankan Airlines,182,Tribhuvan International,Bandaranaike International,KTM,CMB,2025-07-30 13:35:00+00:00,2025-07-30 17:00:00+00:00,scheduled
Malaysia Airlines,4590,Ninoy Aquino International,Tagbilaran,MNL,TAG,2025-07-30 08:55:00+00:00,2025-07-30 10:25:00+00:00,landed
China Express Air,2644,,Ulanqab Jining Airport,RLK,UCB,2025-07-30 20:05:00+00:00,2025-07-30 21:15:00+00:00,scheduled
Ryanair,8971,Papola Casale,Punta Raisi,BDS,PMO,2025-07-30 14:00:00+00:00,2025-07-30 15:15:00+00:00,scheduled
Sichuan Airlines,4784,Xiangfan,Wenzhou,XFN,WNZ,2025-07-30 17:05:00+00:00,2025-07-30 19:20:00+00:00,scheduled
Tibet Airlines,2526,Xiangfan,Wenzhou,XFN,WNZ,2025-07-30 17:05:00+00:00,2025-07-30 19:20:00+00:00,scheduled
China Southern Airlines,4876,Xiangfan,Wenzhou,XFN,WNZ,2025-07-30 17:05:00+00:00,2025-07-30 19:20:00+00:00,scheduled
Xiamen Airlines,5925,Xiangfan,Wenzhou,XFN,WNZ,2025-07-30 17:05:00+00:00,2025-07-30 19:20:00+00:00,scheduled
Kunming Airlines,8225,Xiangfan,Nanjing Lukou International Airport,XFN,NKG,2025-07-30 17:00:00+00:00,2025-07-30 18:25:00+00:00,scheduled
Tibet Airlines,8225,Xiangfan,Nanjing Lukou International Airport,XFN,NKG,2025-07-30 17:00:00+00:00,2025-07-30 18:25:00+00:00,scheduled
Air China LTD,5799,Xiangfan,Nanjing Lukou International Airport,XFN,NKG,2025-07-30 17:00:00+00:00,2025-07-30 18:25:00+00:00,scheduled
Shenzhen Airlines,5525,Xiangfan,Nanjing Lukou International Airport,XFN,NKG,2025-07-30 17:00:00+00:00,2025-07-30 18:25:00+00:00,scheduled
Loong Air,8890,Xiangfan,Guangzhou Baiyun International,XFN,CAN,2025-07-30 17:00:00+00:00,2025-07-30 19:00:00+00:00,scheduled
Hainan Airlines,2890,Xiangfan,Guangzhou Baiyun International,XFN,CAN,2025-07-30 17:00:00+00:00,2025-07-30 19:00:00+00:00,scheduled
China Southern Airlines,4856,Xiangfan,Guangzhou Baiyun International,XFN,CAN,2025-07-30 17:00:00+00:00,2025-07-30 19:00:00+00:00,scheduled
Sichuan Airlines,4768,Xiangfan,Guangzhou Baiyun International,XFN,CAN,2025-07-30 17:00:00+00:00,2025-07-30 19:00:00+00:00,scheduled
China Express Air,9514,Xiangfan,Guangzhou Baiyun International,XFN,CAN,2025-07-30 17:00:00+00:00,2025-07-30 19:00:00+00:00,scheduled
Xiamen Airlines,5905,Xiangfan,Guangzhou Baiyun International,XFN,CAN,2025-07-30 17:00:00+00:00,2025-07-30 19:00:00+00:00,scheduled
Tibet Airlines,2506,Xiangfan,Guangzhou Baiyun International,XFN,CAN,2025-07-30 17:00:00+00:00,2025-07-30 19:00:00+00:00,scheduled
Chengdu Airlines,7600,Xiangfan,Guangzhou Baiyun International,XFN,CAN,2025-07-30 17:00:00+00:00,2025-07-30 19:00:00+00:00,scheduled
Loong Air,8792,Xiangfan,Lishe International Airport,XFN,NGB,2025-07-30 15:40:00+00:00,2025-07-30 17:35:00+00:00,scheduled
China Southern Airlines,4822,Xiangfan,Lishe International Airport,XFN,NGB,2025-07-30 15:40:00+00:00,2025-07-30 17:35:00+00:00,scheduled
Sichuan Airlines,4738,Xiangfan,Lishe International Airport,XFN,NGB,2025-07-30 15:40:00+00:00,2025-07-30 17:35:00+00:00,scheduled
China Express Air,6440,Xiangfan,Lishe International Airport,XFN,NGB,2025-07-30 15:40:00+00:00,2025-07-30 17:35:00+00:00,scheduled
Xiamen Airlines,5871,Xiangfan,Lishe International Airport,XFN,NGB,2025-07-30 15:40:00+00:00,2025-07-30 17:35:00+00:00,scheduled
Tibet Airlines,2472,Xiangfan,Lishe International Airport,XFN,NGB,2025-07-30 15:40:00+00:00,2025-07-30 17:35:00+00:00,scheduled
Chengdu Airlines,7566,Xiangfan,Lishe International Airport,XFN,NGB,2025-07-30 15:40:00+00:00,2025-07-30 17:35:00+00:00,scheduled
Loong Air,8886,Xiangfan,Hangzhou,XFN,HGH,2025-07-30 15:25:00+00:00,2025-07-30 17:15:00+00:00,scheduled
China Southern Airlines,4852,Xiangfan,Hangzhou,XFN,HGH,2025-07-30 15:25:00+00:00,2025-07-30 17:15:00+00:00,scheduled
Sichuan Airlines,4764,Xiangfan,Hangzhou,XFN,HGH,2025-07-30 15:25:00+00:00,2025-07-30 17:15:00+00:00,scheduled
China Express Air,6392,Xiangfan,Hangzhou,XFN,HGH,2025-07-30 15:25:00+00:00,2025-07-30 17:15:00+00:00,scheduled
Xiamen Airlines,5901,Xiangfan,Hangzhou,XFN,HGH,2025-07-30 15:25:00+00:00,2025-07-30 17:15:00+00:00,scheduled
China Southern Airlines,3445,Zhanjiang,Fenghuang International (Phoenix International),ZHA,SYX,2025-07-30 17:50:00+00:00,2025-07-30 19:00:00+00:00,scheduled
Urumqi Airlines,3527,Zhanjiang,Xianyang,ZHA,XIY,2025-07-30 17:30:00+00:00,2025-07-30 20:15:00+00:00,scheduled
Caspian Airlines,20,Mehrabad (Qualeh Morgeh),Ahwaz,THR,AWZ,2025-07-30 05:30:00+00:00,2025-07-30 06:30:00+00:00,unknown
Hainan Airlines,4521,Zhanjiang,Xianyang,ZHA,XIY,2025-07-30 17:30:00+00:00,2025-07-30 20:15:00+00:00,scheduled
Iran Airtour,964,Mehrabad (Qualeh Morgeh),Mashad,THR,MHD,2025-07-30 05:25:00+00:00,2025-07-30 07:00:00+00:00,unknown
China Eastern Airlines,6410,Zhanjiang,Shanghai,ZHA,HFE,2025-07-30 17:15:00+00:00,2025-07-30 19:45:00+00:00,scheduled
Delta Air Lines,7796,Naha,Seoul (Incheon),OKA,ICN,2025-07-30 13:05:00+00:00,2025-07-30 15:25:00+00:00,active
Japan Airlines,5275,Naha,Seoul (Incheon),OKA,ICN,2025-07-30 13:05:00+00:00,2025-07-30 15:25:00+00:00,active
KLM,9165,Naha,Seoul (Incheon),OKA,ICN,2025-07-30 13:05:00+00:00,2025-07-30 15:25:00+00:00,active
TAP Air Portugal,6384,El Prat De Llobregat,Internacional Benito Juarez,BCN,MEX,2025-07-30 11:05:00+00:00,2025-07-30 15:05:00+00:00,scheduled
Myanmar Airways International,8323,Mingaladon,Dawe,RGN,TVY,2025-07-30 14:40:00+00:00,2025-07-30 15:55:00+00:00,scheduled
Myanmar Airways International,352,Mingaladon,Suvarnabhumi International,RGN,BKK,2025-07-30 14:40:00+00:00,2025-07-30 16:30:00+00:00,scheduled
IndiGo,271,Netaji Subhas Chandra,Borjhar,CCU,GAU,2025-07-30 05:55:00+00:00,2025-07-30 07:10:00+00:00,landed
Maldivian,102,Malé International Airport,Gan Airport,MLE,GAN,2025-07-30 12:05:00+00:00,2025-07-30 13:40:00+00:00,scheduled
Alliance Airlines,7871,Telfer,Perth International,TEF,PER,2025-07-30 14:00:00+00:00,2025-07-30 16:04:00+00:00,active
Alliance Airlines,879,Telfer,Perth International,TEF,PER,2025-07-30 17:20:00+00:00,2025-07-30 19:30:00+00:00,scheduled
China Southern Airlines,7195,Shuangliu,Yichang,CTU,YIH,2025-07-30 07:50:00+00:00,2025-07-30 09:20:00+00:00,active
SunExpress,655,Pristina International,Antalya,PRN,AYT,2025-07-30 02:40:00+00:00,2025-07-30 05:30:00+00:00,landed
Air Canada,178,Edmonton International Airport,Lester B. Pearson International,YEG,YYZ,2025-07-30 00:55:00+00:00,2025-07-30 06:40:00+00:00,scheduled
EgyptAir,9616,Edmonton International Airport,Lester B. Pearson International,YEG,YYZ,2025-07-30 00:55:00+00:00,2025-07-30 06:40:00+00:00,scheduled
SA AVIANCA,6997,Edmonton International Airport,Lester B. Pearson International,YEG,YYZ,2025-07-30 00:55:00+00:00,2025-07-30 06:40:00+00:00,scheduled
Air Canada,7773,Pierre Elliott Trudeau International,Lester B. Pearson International,YUL,YYZ,2025-07-30 05:00:00+00:00,2025-07-30 06:25:00+00:00,scheduled
SA AVIANCA,2857,Pierre Elliott Trudeau International,Lester B. Pearson International,YUL,YYZ,2025-07-30 05:00:00+00:00,2025-07-30 06:25:00+00:00,scheduled
Air Austral,8036,Charles De Gaulle,Brnik,CDG,LJU,2025-07-30 09:45:00+00:00,2025-07-30 11:35:00+00:00,scheduled
Kenya Airways,3812,Charles De Gaulle,Brnik,CDG,LJU,2025-07-30 09:45:00+00:00,2025-07-30 11:35:00+00:00,scheduled
SriLankan Airlines,182,Tribhuvan International,Bandaranaike International,KTM,CMB,2025-07-30 13:35:00+00:00,2025-07-30 17:00:00+00:00,scheduled
Malaysia Airlines,4590,Ninoy Aquino International,Tagbilaran,MNL,TAG,2025-07-30 08:55:00+00:00,2025-07-30 10:25:00+00:00,landed
China Express Air,2644,,Ulanqab Jining Airport,RLK,UCB,2025-07-30 20:05:00+00:00,2025-07-30 21:15:00+00:00,scheduled
Ryanair,8971,Papola Casale,Punta Raisi,BDS,PMO,2025-07-30 14:00:00+00:00,2025-07-30 15:15:00+00:00,scheduled
Sichuan Airlines,4784,Xiangfan,Wenzhou,XFN,WNZ,2025-07-30 17:05:00+00:00,2025-07-30 19:20:00+00:00,scheduled
Tibet Airlines,2526,Xiangfan,Wenzhou,XFN,WNZ,2025-07-30 17:05:00+00:00,2025-07-30 19:20:00+00:00,scheduled
China Southern Airlines,4876,Xiangfan,Wenzhou,XFN,WNZ,2025-07-30 17:05:00+00:00,2025-07-30 19:20:00+00:00,scheduled
Xiamen Airlines,5925,Xiangfan,Wenzhou,XFN,WNZ,2025-07-30 17:05:00+00:00,2025-07-30 19:20:00+00:00,scheduled
Kunming Airlines,8225,Xiangfan,Nanjing Lukou International Airport,XFN,NKG,2025-07-30 17:00:00+00:00,2025-07-30 18:25:00+00:00,scheduled
Tibet Airlines,8225,Xiangfan,Nanjing Lukou International Airport,XFN,NKG,2025-07-30 17:00:00+00:00,2025-07-30 18:25:00+00:00,scheduled
Air China LTD,5799,Xiangfan,Nanjing Lukou International Airport,XFN,NKG,2025-07-30 17:00:00+00:00,2025-07-30 18:25:00+00:00,scheduled
Shenzhen Airlines,5525,Xiangfan,Nanjing Lukou International Airport,XFN,NKG,2025-07-30 17:00:00+00:00,2025-07-30 18:25:00+00:00,scheduled
Loong Air,8890,Xiangfan,Guangzhou Baiyun International,XFN,CAN,2025-07-30 17:00:00+00:00,2025-07-30 19:00:00+00:00,scheduled
Hainan Airlines,2890,Xiangfan,Guangzhou Baiyun International,XFN,CAN,2025-07-30 17:00:00+00:00,2025-07-30 19:00:00+00:00,scheduled
China Southern Airlines,4856,Xiangfan,Guangzhou Baiyun International,XFN,CAN,2025-07-30 17:00:00+00:00,2025-07-30 19:00:00+00:00,scheduled
Sichuan Airlines,4768,Xiangfan,Guangzhou Baiyun International,XFN,CAN,2025-07-30 17:00:00+00:00,2025-07-30 19:00:00+00:00,scheduled
China Express Air,9514,Xiangfan,Guangzhou Baiyun International,XFN,CAN,2025-07-30 17:00:00+00:00,2025-07-30 19:00:00+00:00,scheduled
Xiamen Airlines,5905,Xiangfan,Guangzhou Baiyun International,XFN,CAN,2025-07-30 17:00:00+00:00,2025-07-30 19:00:00+00:00,scheduled
Tibet Airlines,2506,Xiangfan,Guangzhou Baiyun International,XFN,CAN,2025-07-30 17:00:00+00:00,2025-07-30 19:00:00+00:00,scheduled
