airline,flight_number,departure_airport,arrival_airport,departure_iata,arrival_iata,departure_time,arrival_time,status
Groupe Transair,3044,Libreville,Felix Houphouet Boigny,LBV,ABJ,2025-07-30 12:30:00+00:00,2025-07-30 14:15:00+00:00,scheduled
,3410,Libreville,Felix Houphouet Boigny,LBV,ABJ,2025-07-30 12:30:00+00:00,2025-07-30 14:15:00+00:00,scheduled
FlexFlight,1385,Libreville,Felix Houphouet Boigny,LBV,ABJ,2025-07-30 12:30:00+00:00,2025-07-30 14:15:00+00:00,scheduled
empty,110,Libreville,Oyem,LBV,OYE,2025-07-30 10:45:00+00:00,2025-07-30 11:45:00+00:00,scheduled
Afrijet,170,Libreville,Oyem,LBV,OYE,2025-07-30 10:45:00+00:00,2025-07-30 11:45:00+00:00,scheduled
empty,122,Libreville,Franceville/Mvengue,LBV,MVB,2025-07-30 09:30:00+00:00,2025-07-30 11:00:00+00:00,scheduled
Afrijet,122,Libreville,Franceville/Mvengue,LBV,MVB,2025-07-30 09:30:00+00:00,2025-07-30 11:00:00+00:00,scheduled
ASKY,61,Libreville,Murtala Muhammed,LBV,LOS,2025-07-30 09:20:00+00:00,2025-07-30 11:05:00+00:00,scheduled
One Air,3012,Libreville,Murtala Muhammed,LBV,LOS,2025-07-30 09:20:00+00:00,2025-07-30 11:05:00+00:00,scheduled
Ethiopian Airlines,1021,Libreville,Murtala Muhammed,LBV,LOS,2025-07-30 09:20:00+00:00,2025-07-30 11:05:00+00:00,scheduled
Air Cote D'Ivoire,827,Libreville,Murtala Muhammed,LBV,LOS,2025-07-30 09:00:00+00:00,2025-07-30 10:40:00+00:00,scheduled
Turkish Airlines,530,Libreville,4 de Fevereiro,LBV,LAD,2025-07-30 08:20:00+00:00,2025-07-30 10:25:00+00:00,scheduled
Southwest Airlines,1713,Indianapolis International,Orlando International,IND,MCO,2025-07-30 05:30:00+00:00,2025-07-30 07:45:00+00:00,scheduled
Southwest Airlines,2695,Indianapolis International,William P Hobby,IND,HOU,2025-07-30 05:20:00+00:00,2025-07-30 06:45:00+00:00,scheduled
Mountain Air Cargo,8334,Indianapolis International,South Bend Regional,IND,SBN,2025-07-30 05:07:00+00:00,2025-07-30 05:58:00+00:00,scheduled
American Airlines,1892,Indianapolis International,Chicago O'hare International,IND,ORD,2025-07-30 05:05:00+00:00,2025-07-30 05:22:00+00:00,scheduled
Qantas,4900,Indianapolis International,Chicago O'hare International,IND,ORD,2025-07-30 05:05:00+00:00,2025-07-30 05:22:00+00:00,scheduled
Aer Lingus,7415,Indianapolis International,Chicago O'hare International,IND,ORD,2025-07-30 05:05:00+00:00,2025-07-30 05:22:00+00:00,scheduled
AlphaSky,6777,Indianapolis International,Chicago O'hare International,IND,ORD,2025-07-30 05:05:00+00:00,2025-07-30 05:22:00+00:00,scheduled
FedEx,1715,Indianapolis International,Nashville International,IND,BNA,2025-07-30 04:58:00+00:00,2025-07-30 04:33:00+00:00,scheduled
FedEx,1706,Indianapolis International,Chicago O'hare International,IND,ORD,2025-07-30 04:53:00+00:00,2025-07-30 04:30:00+00:00,scheduled
FedEx,1702,Indianapolis International,Gerald R. Ford International,IND,GRR,2025-07-30 04:53:00+00:00,2025-07-30 05:31:00+00:00,scheduled
Juneyao Airlines,3311,"Athens International Airport ""Eleftherios Venizelos""",Ioannis Kapodistrias,ATH,CFU,2025-07-30 13:05:00+00:00,2025-07-30 14:05:00+00:00,scheduled
KLM,1230,Landvetter,Schiphol,GOT,AMS,2025-07-30 09:45:00+00:00,2025-07-30 11:20:00+00:00,scheduled
Go2Sky,1534,Ibiza,Schiphol,IBZ,AMS,2025-07-30 08:25:00+00:00,2025-07-30 11:20:00+00:00,scheduled
Transavia,5132,El Prat De Llobregat,Schiphol,BCN,AMS,2025-07-30 08:55:00+00:00,2025-07-30 11:20:00+00:00,scheduled
Uzbekistan Airways,9615,Urgench,Vnukovo,UGC,VKO,2025-07-30 06:30:00+00:00,2025-07-30 08:25:00+00:00,landed
Delta Air Lines,8474,Charles De Gaulle,Cote D'azur International Airport,CDG,NCE,2025-07-30 07:35:00+00:00,2025-07-30 09:10:00+00:00,scheduled
Aeromexico,5838,Charles De Gaulle,Cote D'azur International Airport,CDG,NCE,2025-07-30 07:35:00+00:00,2025-07-30 09:10:00+00:00,scheduled
DHL Air,154,Chhatrapati Shivaji International (Sahar International),Sardar Vallabhbhai Patel International Airport,BOM,AMD,2025-07-30 02:25:00+00:00,2025-07-30 03:35:00+00:00,landed
IndiGo,935,Sardar Vallabhbhai Patel International Airport,Amausi,AMD,LKO,2025-07-30 17:25:00+00:00,2025-07-30 19:20:00+00:00,scheduled
IndiGo,5139,Sardar Vallabhbhai Patel International Airport,Chhatrapati Shivaji International (Sahar International),AMD,BOM,2025-07-30 17:15:00+00:00,2025-07-30 18:45:00+00:00,scheduled
Virgin Atlantic,8274,Sardar Vallabhbhai Patel International Airport,Chhatrapati Shivaji International (Sahar International),AMD,BOM,2025-07-30 17:15:00+00:00,2025-07-30 18:45:00+00:00,scheduled
LATAM Airlines,4537,Eurico Sales,Aeroporto Internacional Guarulhos,VIX,GRU,2025-07-30 04:25:00+00:00,2025-07-30 06:00:00+00:00,scheduled
Aerolineas Argentinas,8338,Eurico Sales,Aeroporto Internacional Guarulhos,VIX,GRU,2025-07-30 04:25:00+00:00,2025-07-30 06:00:00+00:00,scheduled
Aeromexico,8487,Eurico Sales,Aeroporto Internacional Guarulhos,VIX,GRU,2025-07-30 04:25:00+00:00,2025-07-30 06:00:00+00:00,scheduled
South African Airlink,125,Hosea Kutako International (J. G. Strijdom),Oliver Reginald Tambo International (Jan Smuts International),WDH,JNB,2025-07-30 13:45:00+00:00,2025-07-30 15:35:00+00:00,scheduled
Lufthansa City,1822,Franz Josef Strauss,San Pablo,MUC,SVQ,2025-07-30 09:15:00+00:00,2025-07-30 12:20:00+00:00,scheduled
Lufthansa,4130,Franz Josef Strauss,San Pablo,MUC,SVQ,2025-07-30 09:15:00+00:00,2025-07-30 12:20:00+00:00,scheduled
Ryanair,1247,Beauvais-Tille,San Pablo,BVA,SVQ,2025-07-30 09:35:00+00:00,2025-07-30 12:00:00+00:00,scheduled
Flight Training Europe,,Jerez De La Frontera,San Pablo,XRY,SVQ,2025-07-30 10:15:00+00:00,2025-07-30 11:57:00+00:00,scheduled
Tianjin Airlines,6683,Hohhot,Chifeng,HET,CIF,2025-07-30 09:00:00+00:00,2025-07-30 10:20:00+00:00,scheduled
Turkish Airlines,8151,Frederic Chopin,Brussels Airport,WAW,BRU,2025-07-30 10:25:00+00:00,2025-07-30 12:35:00+00:00,scheduled
SAS,752,Frederic Chopin,Kastrup,WAW,CPH,2025-07-30 10:15:00+00:00,2025-07-30 11:35:00+00:00,scheduled
DHL Air,,Halle,Brussels Airport,LEJ,BRU,2025-07-30 01:35:00+00:00,2025-07-30 02:47:00+00:00,active
Ryanair,4750,Punta Raisi,Karlsruhe/Baden-Baden,PMO,FKB,2025-07-30 06:00:00+00:00,2025-07-30 08:10:00+00:00,active
DHL Air,556,Halle,Bahrain International,LEJ,BAH,2025-07-30 00:55:00+00:00,2025-07-30 07:44:00+00:00,active
Nam Air,193,Pangkalanbuun,Juanda,PKN,SUB,2025-07-30 10:50:00+00:00,2025-07-30 12:00:00+00:00,landed
Aeroflot,1705,Vladivostok,Sheremetyevo International,VVO,SVO,2025-07-30 12:05:00+00:00,2025-07-30 13:40:00+00:00,active
S7 Airlines,5208,Vladivostok,Tolmachevo,VVO,OVB,2025-07-30 11:10:00+00:00,2025-07-30 14:05:00+00:00,active
Aurora,5680,Vladivostok,Yuzhno-Sakhalinsk,VVO,UUS,2025-07-30 10:40:00+00:00,2025-07-30 13:20:00+00:00,active
Ural Airlines,366,Vladivostok,Irkutsk,VVO,IKT,2025-07-30 10:20:00+00:00,2025-07-30 12:45:00+00:00,active
KLM,8749,Shanghai Pudong International,Zhanjiang,PVG,ZHA,2025-07-30 11:55:00+00:00,2025-07-30 14:50:00+00:00,cancelled
Juneyao Airlines,5656,Shanghai Pudong International,Zhanjiang,PVG,ZHA,2025-07-30 11:55:00+00:00,2025-07-30 14:50:00+00:00,cancelled
Xiamen Airlines,3871,Shanghai Pudong International,Zhanjiang,PVG,ZHA,2025-07-30 11:55:00+00:00,2025-07-30 14:50:00+00:00,cancelled
Breeze Airways,716,T. F. Green Airport,Orlando International,PVD,MCO,2025-07-30 08:00:00+00:00,2025-07-30 11:08:00+00:00,scheduled
UPS Airlines,5299,T. F. Green Airport,Louisville International (Standiford Field),PVD,SDF,2025-07-30 07:45:00+00:00,2025-07-30 09:53:00+00:00,scheduled
Delta Air Lines,2563,T. F. Green Airport,Minneapolis - St. Paul International,PVD,MSP,2025-07-30 07:25:00+00:00,2025-07-30 09:28:00+00:00,scheduled
WestJet,7417,T. F. Green Airport,Minneapolis - St. Paul International,PVD,MSP,2025-07-30 07:25:00+00:00,2025-07-30 09:28:00+00:00,scheduled
WestJet,7485,T. F. Green Airport,Minneapolis - St. Paul International,PVD,MSP,2025-07-30 07:25:00+00:00,2025-07-30 09:28:00+00:00,scheduled
Air France,6827,T. F. Green Airport,Minneapolis - St. Paul International,PVD,MSP,2025-07-30 07:25:00+00:00,2025-07-30 09:28:00+00:00,scheduled
Southwest Airlines,3186,T. F. Green Airport,Orlando International,PVD,MCO,2025-07-30 07:15:00+00:00,2025-07-30 10:05:00+00:00,scheduled
China Southern Airlines,5894,Urumqi,Changchun,URC,CGQ,2025-07-30 08:40:00+00:00,2025-07-30 13:20:00+00:00,landed
Sichuan Airlines,1468,Urumqi,Changchun,URC,CGQ,2025-07-30 08:40:00+00:00,2025-07-30 13:20:00+00:00,landed
Air New Zealand,221,Christchurch International,Sydney Kingsford Smith Airport,CHC,SYD,2025-07-30 06:35:00+00:00,2025-07-30 08:15:00+00:00,landed
Virgin Australia,7121,Christchurch International,Sydney Kingsford Smith Airport,CHC,SYD,2025-07-30 06:35:00+00:00,2025-07-30 08:15:00+00:00,landed
Sichuan Airlines,8022,Wenzhou,Chongqing Jiangbei International,WNZ,CKG,2025-07-30 10:25:00+00:00,2025-07-30 12:55:00+00:00,landed
Aero-Dienst,,Grenoble-isere Airport (St Geoirs),Garons,GNB,FNI,2025-07-30 12:20:00+00:00,2025-07-30 12:51:00+00:00,scheduled
empty,,Avignon-Caumont,Garons,AVN,FNI,2025-07-30 07:30:00+00:00,2025-07-30 07:52:00+00:00,scheduled
Ryanair,8816,Stansted,Garons,STN,FNI,2025-07-30 08:25:00+00:00,2025-07-30 11:25:00+00:00,scheduled
